-8.9	3.815002e-25
-8.7	8.304008e-23
-8.5	1.586231e-19
-8.3	2.190623e-14
-8.1	4.401821e-12
-7.9	1.055414e-10
-7.7	6.821804e-09
-7.5	2.023376e-05
-7.3	0.01949919
-7.1	0.03293865
-6.9	0.05143796
-6.7	0.07407091
-6.5	0.1893028
-6.3	0.05444973
-6.1	0.3475684
-5.9	0.0840556
-5.7	0.3652077
-5.5	0.1348085
-5.3	0.03181511
-5.1	0.1326153
-4.9	0.1310953
-4.7	0.3002657
-4.5	0.192021
-4.3	0.06871119
-4.1	0.04214104
-3.9	0.06278343
-3.7	0.1739274
-3.5	0.1030083
-3.3	0.1034279
-3.1	0.1316472
-2.9	0.03982197
-2.7	0.1851129
-2.5	0.2028524
-2.3	0.1412886
-2.1	0.01579131
-1.9	0.0004214415
-1.7	7.398859e-07
-1.5	2.807147e-06
-1.3	1.468309e-05
-1.1	8.931969e-09
-0.9	3.282992e-09
-0.7	2.847685e-09
-0.5	4.415736e-09
-0.3	1.524737e-09
-0.1	6.1285e-09
0.1	6.64348e-06
0.3	0.0005658686
0.5	0.051737
0.7	0.01822428
0.9	0.006226945
1.1	0.002674824
1.3	0.004646922
1.5	0.003949142
1.7	0.003052251
1.9	0.00587868
2.1	0.006605221
2.3	0.004003801
2.5	0.003210791
2.7	0.001659941
2.9	0.001183303
3.1	0.0001887055
3.3	2.897398e-08
3.5	1.891757e-10
3.7	8.212547e-12
3.9	6.301604e-13
4.1	8.196538e-14
4.3	1.506402e-14
4.5	3.699331e-15
4.7	1.190042e-15
4.9	5.107185e-16
5.1	2.684273e-16
