1	3.998079
2	3.998477
3	0
4	3.998555
5	3.998606
6	0
7	3.998762
8	3.998751
9	0
10	3.999229
11	3.998998
12	0
13	3.999112
14	3.998977
15	0
16	3.998929
17	3.998898
18	0
19	3.998896
20	3.998876
21	0
22	3.998996
23	3.998955
24	0
25	3.998971
26	3.998932
27	0
28	3.998901
29	3.998872
30	0
31	3.998874
32	3.998845
33	0
34	3.998887
35	3.998848
36	0
37	3.998852
38	3.998811
39	0
40	3.998785
41	3.998744
42	0
43	3.998733
44	3.998686
45	0
46	3.998691
47	3.998628
48	0
49	3.998587
50	3.998511
51	0
52	3.998439
53	3.998336
54	0
55	3.998228
56	3.998046
57	0
58	3.997839
59	3.996911
60	0
